title,year,runtime_minutes,genres,average_rating,num_votes,log_votes,rating_pct,votes_pct,love_score,cult_factor,decade,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,rating_cat,votes_cat,runtime_cat,Cluster,ClusterName
Boy A,2007,106.0,Drama,7.5,40064,10.598258414212172,0.8704524469067405,0.6939981532779317,0.6040923906695348,0.1764542936288088,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Many,Long,1,Mass Favorites
War,2019,151.0,"Action,Adventure,Thriller",6.6,40060,10.598158571464417,0.5470606340412435,0.693936595875654,0.3796253941241574,-0.1468759618344105,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,High,Many,Epic,3,Mainstream Popcorn
The Aeronauts,2019,100.0,"Action,Adventure,Drama",6.6,40051,10.597933888827692,0.5470606340412435,0.6938442597722376,0.3795748806768775,-0.1467836257309941,2010,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Many,Standard,3,Mainstream Popcorn
Victoria & Abdul,2017,111.0,"Biography,Comedy,Drama",6.8,40051,10.597933888827692,0.6297630040012312,0.6938442597722376,0.436957445343175,-0.0640812557710064,2010,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Many,Long,3,Mainstream Popcorn
Paan Singh Tomar,2012,135.0,"Action,Biography,Crime",8.2,40047,10.597834013671555,0.9799630655586334,0.6937519236688212,0.6798512618556971,0.2862111418898122,2010,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Many,Epic,1,Mass Favorites
Disobedience,2017,114.0,Drama,6.6,40039,10.597634233429156,0.5470606340412435,0.6936903662665436,0.3794906915980777,-0.1466297322253,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Many,Long,3,Mainstream Popcorn
Cumali Ceber,2017,100.0,Comedy,1.0,40010,10.596909695290504,0.000153893505694,0.6936288088642659,0.0001067449690465,-0.6934749153585719,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Many,Standard,0,Forgotten Films
The Merchant of Venice,2004,131.0,"Drama,Romance",7.0,40004,10.596759725284224,0.6990458602646968,0.6935672514619883,0.4848353159496669,0.0054786088027085,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,High,Many,Epic,1,Mass Favorites
Ghost Stories,2017,98.0,"Drama,Horror,Mystery",6.4,40002,10.596709730283711,0.4660818713450292,0.6935056940597106,0.3232304316757833,-0.2274238227146813,2010,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Medium,Many,Standard,3,Mainstream Popcorn
Let Him Go,2020,113.0,"Crime,Drama,Thriller",6.7,40001,10.596684731846114,0.5894736842105263,0.6934441366574331,0.4087670700296447,-0.1039704524469068,2020,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,High,Many,Long,3,Mainstream Popcorn
Kai Po Che,2013,120.0,"Drama,Sport",7.8,39969,10.59588445170537,0.935026161895968,0.6933825792551555,0.6483308518064749,0.2416435826408125,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Top,Many,Epic,1,Mass Favorites
I Swear,2025,120.0,"Biography,Drama",8.4,39955,10.59553412765204,0.9905817174515236,0.6933210218528778,0.686791128572269,0.2972606955986457,2020,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Many,Epic,1,Mass Favorites
Smoke,1995,112.0,"Comedy,Drama",7.4,39954,10.595509099808565,0.8412126808248692,0.6932594644506002,0.5831786525977025,0.147953216374269,1990,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Many,Long,1,Mass Favorites
Dragnet,1987,106.0,"Comedy,Crime,Mystery",6.0,39937,10.595083530603336,0.3132656201908279,0.6931979070483225,0.2171550722664766,-0.3799322868574946,1980,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Medium,Many,Long,3,Mainstream Popcorn
Nanny McPhee and the Big Bang,2010,109.0,"Comedy,Family,Fantasy",6.1,39920,10.594657780211852,0.3465066174207448,0.693136349646045,0.2401763319272137,-0.3466297322253001,2010,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Many,Long,3,Mainstream Popcorn
Prom Night,2008,88.0,Horror,4.0,39906,10.594307026086897,0.0246537396121883,0.6930747922437673,0.0170868854597493,-0.6684210526315789,2000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Many,Short,3,Mainstream Popcorn
Shutter,2008,85.0,"Horror,Mystery,Thriller",5.2,39894,10.59400628174238,0.1125269313634964,0.6930132348414897,0.0779826527110029,-0.5804863034779932,2000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,Low,Many,Short,3,Mainstream Popcorn
Samsara,2011,102.0,"Documentary,Music",8.4,39892,10.593956148890312,0.9905817174515236,0.692951677439212,0.6864252627486488,0.2976300400123115,2010,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Top,Many,Standard,1,Mass Favorites
House of the Dead,2003,90.0,"Action,Adventure,Horror",2.1,39887,10.59383080576334,0.0032317636195752,0.6928901200369344,0.0022392570822984,-0.6896583564173592,2000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Many,Short,0,Forgotten Films
The Lord of the Rings: The War of the Rohirrim,2024,134.0,"Action,Adventure,Animation",6.3,39883,10.593730519948684,0.4253924284395198,0.6928285626346569,0.2947240247514187,-0.267436134195137,2020,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Many,Epic,3,Mainstream Popcorn
A Family Affair,2024,111.0,"Comedy,Drama,Romance",5.4,39877,10.593580072366844,0.1502000615574023,0.6927670052323792,0.1040536468308405,-0.5425669436749769,2020,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low,Many,Long,3,Mainstream Popcorn
Housebound,2014,107.0,"Comedy,Horror,Mystery",6.7,39866,10.593304192999618,0.5894736842105263,0.6927054478301016,0.4083316324051124,-0.1032317636195753,2010,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,High,Many,Long,3,Mainstream Popcorn
Touching the Void,2003,106.0,"Adventure,Documentary,Drama",7.9,39863,10.59322893996124,0.948599569098184,0.6926438904278239,0.6570416959983236,0.2559556786703602,2000,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Many,Long,1,Mass Favorites
Maximum Overdrive,1986,98.0,"Action,Comedy,Horror",5.4,39840,10.592651811785132,0.1502000615574023,0.6925823330255463,0.1040259090540063,-0.542382271468144,1980,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Many,Standard,3,Mainstream Popcorn
Creep 2,2017,78.0,"Horror,Thriller",6.4,39829,10.59237567617569,0.4660818713450292,0.6925207756232687,0.3227713790478042,-0.2264389042782394,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Medium,Many,Short,3,Mainstream Popcorn
The Savages,2007,114.0,"Comedy,Drama",7.1,39818,10.592099464294312,0.736657433056325,0.6924592182209911,0.510105230190865,0.0441982148353339,2000,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Many,Long,1,Mass Favorites
An American Crime,2007,98.0,"Biography,Crime,Drama",7.2,39808,10.591848296362112,0.7735303170206217,0.6923976608187135,0.5355905820774363,0.0811326562019082,2000,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Many,Standard,1,Mass Favorites
