title,year,runtime_minutes,genres,average_rating,num_votes,log_votes,rating_pct,votes_pct,love_score,cult_factor,decade,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,rating_cat,votes_cat,runtime_cat
Iron Man,2008,126.0,"Action,Adventure,Sci-Fi",7.9,1222787,14.016644055407975,0.9485995690981841,0.9968605724838412,0.9456215095091409,-0.048261003385657086,2000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
Good Will Hunting,1997,126.0,"Drama,Romance",8.4,1214497,14.009841380654791,0.9905817174515236,0.9967990150815635,0.9874108803134823,-0.006217297630039975,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Top,Massive,Epic
Star Wars: Episode VI - Return of the Jedi,1983,131.0,"Action,Adventure,Fantasy",8.3,1207824,14.004331779432912,0.9863650353955064,0.9967374576792859,0.9831469777238558,-0.010372422283779548,1980,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
Finding Nemo,2003,100.0,"Adventure,Animation,Comedy",8.2,1205896,14.002734246320118,0.9799630655586334,0.9966759002770084,0.976705570603868,-0.016712834718374925,2000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Standard
Mad Max: Fury Road,2015,120.0,"Action,Adventure,Sci-Fi",8.1,1204877,14.001888874968012,0.9710987996306556,0.9966143428747307,0.9678109920603456,-0.025515543244075123,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
No Country for Old Men,2007,122.0,"Crime,Drama,Thriller",8.2,1187468,13.987334709287028,0.9799630655586334,0.9965527854724531,0.9765849226425803,-0.016589719913819634,2000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Top,Massive,Epic
Eternal Sunshine of the Spotless Mind,2004,108.0,"Drama,Romance,Sci-Fi",8.3,1181398,13.982209887401554,0.9863650353955064,0.9964912280701754,0.9829041054467502,-0.010126192674669077,2000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Top,Massive,Long
Jurassic Park,1993,127.0,"Action,Adventure,Sci-Fi",8.2,1175723,13.97739468601824,0.9799630655586334,0.9964296706678978,0.9764642746812926,-0.016466605109264343,1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
Toy Story,1995,81.0,"Adventure,Animation,Comedy",8.3,1172144,13.974345961602909,0.9863650353955064,0.9963681132656201,0.9827826693081972,-0.010003077870113786,1990,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Short
Reservoir Dogs,1992,99.0,"Crime,Thriller",8.3,1169517,13.972102256080746,0.9863650353955064,0.9963065558633426,0.9827219512389209,-0.009941520467836251,1990,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Top,Massive,Standard
Gone Girl,2014,149.0,"Drama,Mystery,Thriller",8.1,1166995,13.969943483670702,0.9710987996306556,0.996244998461065,0.9674523221435846,-0.02514619883040936,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Top,Massive,Epic
Parasite,2019,132.0,"Drama,Thriller",8.5,1160356,13.964238274355267,0.9936595875654047,0.9961834410587873,0.9898672271819603,-0.0025238534933825774,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Top,Massive,Epic
Braveheart,1995,178.0,"Biography,Drama,War",8.3,1159878,13.963826247297018,0.9863650353955064,0.9961218836565097,0.9825397970310916,-0.009756848261003315,1990,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Top,Massive,Epic
Whiplash,2014,106.0,"Drama,Music",8.5,1151867,13.95689553033947,0.9936595875654047,0.996060326254232,0.9897448929760426,-0.0024007386888272864,2010,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Top,Massive,Long
The Sixth Sense,1999,107.0,"Drama,Mystery,Thriller",8.2,1142932,13.949108323386074,0.9799630655586334,0.9959987688519545,0.9760420068167861,-0.016035703293321046,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,Top,Massive,Long
Raiders of the Lost Ark,1981,115.0,"Action,Adventure",8.4,1109082,13.919044105732146,0.9905817174515236,0.9959372114496768,0.9865571933917021,-0.005355493998153271,1980,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Long
The Hunger Games,2012,142.0,"Action,Adventure,Sci-Fi",7.2,1080200,13.89265769289499,0.7735303170206217,0.9958756540473992,0.7703400103884037,-0.2223453370267775,2010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
"Monsters, Inc.",2001,92.0,"Adventure,Animation,Comedy",8.1,1073502,13.88643769089418,0.9710987996306556,0.9958140966451215,0.9670338739073632,-0.024715297014465953,2000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Short
A Beautiful Mind,2001,135.0,"Biography,Drama,Mystery",8.2,1052387,13.866572425574713,0.9799630655586334,0.9957525392428439,0.9758007108942107,-0.015789473684210464,2000,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Top,Massive,Epic
